领域,MCP名称,知识库构建来源,代表博主（小红书号）,关键词,主页链接,推荐输入,推荐输出,推荐Query1,推荐Query2,推荐Query3,推荐Query4,推荐Query5,推荐Query6,推荐Query7,推荐Query8,推荐Query9,推荐Query10,开发价值,
电子竞技,电竞解说MCP,"游戏官网 / 官方公众号(官方权威来源);
小黑盒、王者营地、掌上英雄联盟;(专业电竞 & 数据平台);
抖音 / 快手/小红书（游戏解说、高光、技巧）；",18637540787；水一大魔王,战况解说、出装分享,https://www.xiaohongshu.com/user/profile/66753c52000000001e005c92?xsec_token=YBvJIsWoM1Isk-cXjswrDueDXnFSVwmv-eK6IVG_CK8Jw=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773299652&share_id=426839b0746c43d384f2f085fd5fd7f1,"多模态输入
游戏名称、英雄 / 角色、技能、装备、地图讲解
对局思路、打法分析、出装推荐、连招教学
赛事解说、名场面复盘、高光时刻讲解
新手入门、操作技巧、意识提升、避坑要点
游戏模式、规则、机制、版本更新解读
实时战况描述、战术分析、胜负关键点
用户提供对局片段 / 场景，生成解说文案","核心定位 / 角色定位
关键技能 / 出装 / 连招（简洁版）
打法思路 & 意识要点
对局解说文案（口语化、有节奏）
版本强弱与小技巧",新手打瓦应该怎么上手,王者荣耀甄姬的出装和连招是什么,给我一段游戏高光解说文案,上官婉儿这个英雄怎么玩,解说一下这局比赛的关键转折点,吃鸡类游戏新手怎么提升意识,xx版本更新对现有英雄有什么影响,某某地图打法思路和战术讲解,名场面复盘，解说一下操作细节,给我生成一段激情的xx游戏解说台词,高频、娱乐性强、用户停留久、易落地、年轻化,
护肤美妆,不同肤质护肤MCP,"国家药品监督管理局（化妆品监管、化妆品分类、化妆品备案查询）；
小红书TOP博主的推文、微博、抖音热门视频（博主实用科普）",817697585；骆王宇,全肤质、美白,https://www.xiaohongshu.com/user/profile/5dc0e8c90000000001004610?xsec_token=YBG2-PHpC4rvvgSCfJro5wr_A5is71InAMRkmY5u-58IQ=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773209209&share_id=6b36f3b59f254e8eab05bf4f79bf55dd,"用户肤质类型描述（油皮 / 干皮 / 混油 / 混干 / 敏感肌 / 中性皮 / 不清楚肤质）
当前护肤困扰：出油、长痘、干燥脱皮、泛红敏感、暗沉、毛孔粗大、黑头、细纹等
年龄、性别、季节、所处环境（空调房、户外、北方干燥、南方潮湿）
现有护肤品使用情况、是否有过敏史
诉求：基础保湿、控油、祛痘、修护、抗初老、美白、精简护肤等","肤质判断结论
肤质特点与常见问题
核心护肤原则
早、晚间护肤步骤（产品类型 + 简要作用）
生活与习惯建议
避雷提醒（慎用成分、错误做法）
每周特殊护理（去角质、敷面膜、修护等频率）",我是油性皮肤，该怎么正确护肤,干皮总是脱皮紧绷，有什么护肤方案,混油肤质 T 区油两颊干，该怎么护理,敏感肌容易泛红刺痛，该用什么思路护肤,我不知道自己是什么肤质，怎么判断和护肤,毛孔粗大黑头多，属于什么肤质该怎么改善,夏天出油长痘，冬天又干，该怎么调整护肤,中性皮肤如何维持稳定，简单护肤步骤,熬夜暗沉粗糙，根据肤质怎么急救护肤,不同肤质在换季时分别要注意什么,用户刚需、高频搜索、场景明确、可标准化、复用性强、转化高、实用性强,
,,,814953959；大夏天｜理性护肤,干皮、抗老,https://www.xiaohongshu.com/user/profile/5d312da400000000100335e5?xsec_token=YBrtJ29nqP57xL0wca6-tRNkj9sAA_bgmoBqoIEZjTGrU=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773209248&share_id=b2552ab9208a468b8d796d24ee58476f,,,,,,,,,,,,,,
,化妆咨询 MCP,"国家药品监督管理局（化妆品监管、化妆品分类、化妆品备案查询）；
小红书TOP博主的推文、微博、抖音热门视频（博主实用科普）",100318174；程十安an,全类型妆容教程,https://www.xiaohongshu.com/user/profile/562ef75ae00dd861d410784a?xsec_token=YBJETUe4ZyeDbZGQhdW-FRzgSqDO8vRub2Y2GfX6NoApk=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773209946&share_id=f54fa6ea7824446db4bdc2134ad57f83,"肤质：油皮 / 干皮 / 混油 / 混干 / 敏感肌
化妆水平：新手 / 手残党 / 进阶
使用场合：日常、通勤、约会、面试、聚会、拍照、婚礼等
诉求：底妆服帖、持久不脱妆、遮瑕、伪素颜、淡妆、眼妆、唇妆、修容、平价 / 大牌倾向
困扰：卡粉、浮粉、斑驳、暗沉、眼妆晕妆、不会选色号、不会画眼线 / 眉毛
年龄、肤色、风格：甜妹、清冷、淡妆、浓颜、自然裸妆","肤质 / 肤色 / 风格总结
适合妆容定位
完整化妆步骤（精简版 / 完整版二选一）
重点部位技巧（底妆、眼妆、眉形、唇妆）
持妆与防脱妆小技巧
产品类型建议（不具体品牌，只讲类型）
常见误区与避雷",我是化妆新手，零基础该怎么学化妆,油皮夏天底妆容易脱妆斑驳，怎么解决,日常通勤淡妆，最简单的化妆步骤是什么,干皮上妆总是卡粉起皮，有什么技巧,约会适合画什么妆容，简单又好看,怎么根据自己肤色选粉底液色号,手残党不会画眼线和眉毛，有没有简单方法,伪素颜淡妆需要哪些化妆品,面试应该画什么妆容，显得干净得体,怎样让妆容一整天干净不暗沉,女性刚需、场景极广、实用性强、问答结构化、复询率高、易落地、变现潜力大,
,,,422520418；豆豆_Babe,混干敏皮,https://www.xiaohongshu.com/user/profile/5a16311de8ac2b349577ec8e?xsec_token=YBwwsyaadJ-jxRaIvMtuwz-AsTVBX7scU6SgxJTJrPcXA=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773209986&share_id=dbdd7643211d407188c421b825f855ca,,,,,,,,,,,,,,
服饰穿搭,风格穿搭MCP,"小红书时尚板块（穿搭干货、体型改造、配色方案）；
时尚媒体与杂志（VOGUE、ELLE、时尚芭莎、GQ、瑞丽）",342339199；是西西吖,梨形身材,https://www.xiaohongshu.com/user/profile/5e8986ca0000000001009a1c?xsec_token=YBXSLklQZZldIr4BaFRfCmlgNK45yzT24GjXuoleywxNY=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773210180&share_id=d6de8f70c5fc4efebc26ac843ebaa904,"人群：学生、职场新人、通勤白领、宝妈、微胖、小个子、高个子、梨形身材、苹果型身材等
风格：简约、休闲、甜酷、温柔、韩系、日系、通勤、知性、慵懒、复古、清冷等
场合：日常、上学、上班、面试、约会、聚会、正式场合、旅行、换季、居家等
需求：显瘦、显高、显白、遮肉、百搭、气质、平价、一衣多穿、懒人穿搭
季节与天气：春夏秋冬、冷热、早晚温差、下雨、大风等","身材 / 人群 / 风格定位
适合色系推荐
上装 + 下装 + 鞋子 + 配饰完整搭配
显瘦 / 显高 / 遮肉小技巧
避雷穿搭误区
2～3 套可直接复制的成套搭配方案",小个子女生怎么穿显高显瘦,职场通勤日常简约穿搭有哪些,微胖梨形身材该怎么穿搭遮肉,学生党平价百搭穿搭推荐,第一次约会穿什么温柔又好看,秋天有哪些懒人不用动脑的穿搭,正式面试应该怎么穿得体大方,高个子女生怎样穿搭不显得壮,一衣多穿省钱实用穿搭技巧,韩系休闲风日常穿搭怎么搭,高频刚需、覆盖面广、实用性强、易标准化、复购率高、女性用户强需求、场景清晰,
,,,"
670946093；小小小小白",职场通勤,https://www.xiaohongshu.com/user/profile/5bf8bfe73bdeff00016afe9a?xsec_token=YB67CTDPq5f1w8owLG6PNWN2VU5dsA-E52Ctd8JXzDFHU=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773210210&share_id=03677b26b97a485089d51b5bdd8de2d9,,,,,,,,,,,,,,
美食餐饮,美食餐饮MCP,"下厨房（标准菜谱、用料、步骤、做法）；
抖音（快手菜、懒人做法、减脂餐、厨具技巧）；
大众点评（菜系、小吃、点餐、地方特色）",cunlv555；村驴,新手保姆级教程,https://www.xiaohongshu.com/user/profile/56f564efaed75850dddb5ebd?xsec_token=YB9FUYAjezaH6yjwEx-7sBVoMCHjKNvMePCf73I-DYmVE=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773210293&share_id=3797885c892f484a89f8d3c36b0c1611,"场景类型：快手家常菜 / 养生小吃 / 宿舍美食（无锅 / 小电锅） / 5 分钟早餐 / 减脂餐
食材限制：现有食材清单、冰箱剩余食材、超市可采购清单（需标注易获取属性）
人群属性：厨房新手 / 手残党 / 学生党 / 上班族 / 减脂人群 / 养生需求人群
核心诉求：省时（5-15 分钟） / 省钱 / 低卡低脂 / 营养均衡 / 无油烟 / 无复杂工具
特殊需求：忌口（如素食、无辣、低糖、无麸质）、季节适配（春夏清爽 / 秋冬暖食）","场景与人群定位
菜品核心亮点（省时 / 低脂 / 易上手 / 食材通用）
极简食材清单（标注 “可替换” 选项，降低采购门槛）
超简化步骤（1-3 步核心操作，无复杂工序）
关键技巧（避坑要点、口味调整方法、快速出锅秘诀）
适配拓展（可替换食材、衍生做法、搭配建议）",厨房新手求 5 分钟快手家常菜，只有 3 种基础食材,宿舍小电锅能做什么简单养生小吃，不用开火也能吃,上班族赶时间，10 分钟内搞定的低卡早餐有哪些,冰箱里剩鸡蛋和青菜，求一道简单又下饭的家常菜,学生党平价美食，预算 5 元以内的快手餐怎么做,减脂期想吃早餐，5 分钟能做好的低脂食物推荐,夏天不想做饭，求清爽无油烟的快手家常菜,零基础养生小吃，适合睡前做的简单甜品有哪些,只有电饭煲，能做哪些好吃不复杂的家常菜,换季想喝养生粥，10 分钟就能煮好的快手粥品推荐,高频刚需、受众覆盖广（学生 / 上班族 / 家庭）、落地性极强、内容可批量复制、用户互动与收藏率高、适配短视频 / 图文多形态传播,
,,,1143349330；简简厨房,烘焙、中餐,https://www.xiaohongshu.com/user/profile/606bd3be00000000010024a0?xsec_token=YBPS2fqHOU2g9Ke_2t6-Tw_iv-ZbHF4sSeGELD5MlSX2M=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773210320&share_id=8487004fb8f4488ca05ba495325feb5a,,,,,,,,,,,,,,
家居生活,家居助手MCP,"国家建材网（查询标准、安全、材质、环保等级）；
住小帮（装修干货、户型改造、预算清单、图文教程）；
小红书（生活化、实用技巧库）；
B 站（装修施工、水电改造、家具拆解、家电测评）；
淘宝 / 京东详情页（材质、尺寸、功能、使用场景）",lanyanjingciwei；蓝眼睛刺猬,装修、家居、收纳,https://www.xiaohongshu.com/user/profile/56590b60e00dd80e16dfdeda?xsec_token=YBEchILGCw94aCq43vYHFaofQwbTrn2gREZXM0QaGLHgU=&xsec_source=app_share&xhsshare=CopyLink&shareRedId=ODwyMUQ5ST02NzUyOTgwNjZFOTdKR0k_&apptime=1773210463&share_id=76f880603e3641988e1d19cdfc8771e9,"空间：卧室、客厅、出租屋、小户型、卫生间、阳台、厨房、玄关
需求：房间布置、整体装修、软装搭配、收纳规划、干湿分离、格局改造
人群：懒人、租房党、学生、上班族、预算有限、新手、不想大动
风格：极简、原木、奶油风、ins 风、日系、北欧、复古、轻奢、中式
痛点：小空间显小、乱、杂物多、采光差、卫生间小、不会收纳、怕麻烦","空间与需求定位
整体布局思路
风格 / 配色建议
收纳系统规划
实用改造技巧（干湿分离 / 扩容 / 显大）
懒人低成本做法
避坑提醒",小户型房间怎么布置显大又整洁,小空间收纳技巧，杂物多怎么整理,小卫生间怎么做干湿分离，不踩坑,卧室奶油风布置，低成本简单改造步骤,懒人极简装修，不用费心怎么装,出租屋简单改造，不伤墙又好看,客厅 ins 风布置，有哪些实用思路,玄关很小，收纳和布局怎么设计,原木风卧室怎么搭配，温馨耐看,卫生间面积小，如何收纳不拥挤,刚需高频、受众极广、实用性强、场景清晰、标准化高、复询率高、留存强,
